Length,Time,Vehicle,Driver,Date,Notes
"20,600 m",8:14,"Maserati GranTurismo MC Stradale (M145, 2012, N/A 4.7, 450 PS)",Horst von Saurma,2012,"Sport Auto (11/2012), Pirelli P Zero Corsa."
"20,600 m",8:14,"Mercedes-Benz SL65 AMG (R230, pre-facelift, 2005)",Horst von Saurma,2005,Sport Auto (02/2005)
"20,600 m",8:14,Mercedes-Benz SLK55 AMG Black Series,Horst von Saurma,2007,Sport Auto (08/2007)
,8:14,Range Rover Sport SVR (2015),,2014-05,Range Rover conducted test.
"20,600 m",8:14,"Seat Leon Cupra (Mk3, 5F, 2015, 2.0 T, 280 PS)",Horst von Saurma,2015,"Sport Auto (01/2015), Michelin Pilot Sport Cup 2."
,8:14,"Volkswagen Golf VII R (Mk7, pre-facelift, 2013, 300 PS)",,2013,"Autozeitung (19/2013), according to Volkswagen company claimed lap time for VW Golf R (Mk7, pre-facelift)."
"20,600 m",8:14.93,"Toyota GR Yaris  (Mk4, XP210, 2021, 1.5 T, 261 PS)",Christian Gebhardt,2021-04-07,"Sport Auto (05/2021), Michelin Pilot Sport 4S."
,8:14.98,Mitsubishi Lancer Evolution VIII MR GSR,Motoharu Kurosawa,2003,Best Motoring conducted test
"20,600 m",8:15,BMW 1 Series M Coupé (E82),Horst von Saurma,2011,"Sport Auto (07/2011), Michelin Pilot Sport."
"20,600 m",8:15,"BMW Alpina Roadster S (E85, 2005, 300 PS)",Horst von Saurma,2005,"Sport Auto (07/2005), Michelin Pilot Sport Cup."
"20,600 m",8:15,"Chevrolet Corvette (C6, 2005, N/A 6.0, 404 PS)",Horst von Saurma,2005,Sport Auto (08/2005)
"20,600 m",8:15,Honda Civic Type R (FK2),Christian Gebhardt,2016,"Sport Auto (04/2016), Continental Conti SportContact 6, manual."
"20,600 m",8:15.10,"Volkswagen Golf VII R (Mk7, pre-facelift, 2.0 T, 300 PS)",Horst von Saurma,2014,"Sport Auto (10/2014), Bridgestone Potenza RE050A."
"20,600 m",8:16,"Aston Martin DB9 (2004, 456 PS)",Horst von Saurma,2004,Sport Auto (11/2004)
"20,600 m",8:16,"Audi TT S Coupe (Mk3, FV/8S, 2015, 2.0 T, 310 PS)",Christian Gebhardt,2015,"Sport Auto (06/2015), Pirelli P Zero."
"20,600 m",8:16,"BMW M235i (F22, 2015, 3.0 T, 322 PS)",Christian Gebhardt,2015,"Sport Auto (04/2015), Michelin Pilot Super Sport."
,8:16.15,Honda NSX (NA1),Motoharu Kurosawa,1990,"Best Motoring Video Special Vol. 15 ""The Honda NSX"" (1990), video confirmed"
"20,832 m",8:16.52,"BMW M6 Cabrio (E64, 2007, 507 PS)",Wolfgang Kaufmann,2007-05,"Auto Bild Sportscars (06/2007), 7-speed SMG-III automatic."
,8:16.90,Renault Mégane RS R26.R,Vincent Baylé,2008-06-23,"Renault Sport conducted test, video confirmed"
"20,600 m",8:17,Aston Martin V12 Vanquish,Horst von Saurma,2003,Sport Auto (01/2003)
"20,600 m",8:17,"Porsche 911 Carrera (996.1, pre-facelift, 1998, 300 PS)",Horst von Saurma,1998,Sport Auto (01/1998)
"20,600 m",8:17,"Porsche 911 Carrera (996.2, facelift, 2001, 320 PS)",Horst von Saurma,2001,Sport Auto (10/2001)
"20,600 m",8:17,"Porsche Cayman S (987.2, facelift 2009)",Horst von Saurma,2009,"Sport Auto (12/2009), Bridgestone Potenza RE 050A N1, PDK, LSD, PASM, Sport Chrono options."
"20,600 m",8:18,"BMW M135i (F20, 2012)",Horst von Saurma,2012,"Sport Auto (01/2013), Michelin Pilot Super Sport, manual, Adaptive M suspension."
"20,600 m",8:18,"BMW Z8 (E52, 2000, 400 PS)",Horst von Saurma,2000,Sport Auto (08/2000)
"20,600 m",8:18,"Chevrolet Corvette C5 Commemorative Edition (2003, 344 PS)",Horst von Saurma,2003,Sport Auto (09/2003)
"20,600 m",8:18,"Ford Mustang GT (Mk6, S550, facelift, 2020, N/A 5.0, 450 PS)",Christian Gebhardt,2020,"Sport Auto (11/2020), Michelin Pilot Sport 4S."
"20,600 m",8:18,Lexus IS-F,Horst von Saurma,2009,"Sport Auto (09/2008), Michelin Pilot Sport."
"20,600 m",8:18,Maserati GranSport,Horst von Saurma,2005,Sport Auto (09/2005)
"20,600 m",8:18,"Porsche Boxster S (987.2, facelift 2009)",Horst von Saurma,2009,"Sport Auto (12/2009), Bridgestone Potenza RE 050A N1, PDK, LSD, PASM, Sport Chrono options."
"20,600 m",8:18,Ferrari F355,Horst von Saurma,1997,Sport Auto (06/1997)
,8:19.47,Holden VF SS Redline Ute,Rob Trubiani,2013-04,Holden Blog (04/2013)
"20,600 m",8:20,"Audi RS3 Sportback (8P, 2011, 2.5 T, 340 PS)",Horst von Saurma,2011,"Sport Auto (06/2011), Continental Conti Sport Contact 5P."
"20,600 m",8:20,Audi RS6 (C5),Horst von Saurma,2002,Sport Auto (9/2002)
,8:20,Chevrolet Camaro SS (2010),,2008,General Motors conducted test.
"20,600 m",8:20,"Hyundai i30 N Performance Package (PD, pre-facelift, 2018, 2.0 T, 275 PS)",Christian Gebhardt,2018,"Sport Auto (05/2018), Pirelli P Zero."
"20,600 m",8:20,"Opel Astra OPC (J, P10, 2012, 2.0 T, 280 PS)",Horst von Saurma,2012,"Sport Auto (12/2012), Pirelli P Zero."
"20,600 m",8:22,BMW M3 (E46),Horst von Saurma,2000,"Sport Auto (12/2000), Michelin Pilot Sport."
"20,600 m",8:22,"BMW Z3 M Coupe (E36/8, 1998, 321 PS)",Horst von Saurma,1998,Sport Auto (10/1998)
"20,600 m",8:22,Mercedes-Benz C55 AMG (W203),Horst von Saurma,2004,"Sport Auto (7/2004), Pirelli P Zero Rosso."
"20,600 m",8:22.33,"Ford Fiesta ST Edition (Mk7, B479, 2022, 1.5 T, 200 PS)",Christian Gebhardt,2022,"Sport Auto (11/2022), Michelin Pilot Sport Cup 2."
,8:22.38,Nissan Skyline GT-R R32,Motoharu Kurosawa,1989,Best Motoring Video Special Vol. 6. semi-wet (damp) condition lap time.[citation needed]
"20,600 m",8:22.70,"Ford Focus ST (Mk4, C519, 2021, 2.3 T, 280 PS)",Christian Gebhardt,2021,"Sport Auto (03/2021), Michelin Pilot Sport 4S."
,8:22.85,Chevrolet Cobalt SS/TC (2007),,2007,Motor Trend (10/2007)
"20,600 m",8:23,Aston Martin DB7 GT,Horst von Saurma,2003,Sport Auto (07/2003)
"20,600 m",8:23,"Porsche Boxster S (987.1, pre-facelift, 2006, 282 PS)",Horst von Saurma,2006,"Sport Auto (04/2006), Michelin Pilot Sport 2 N1, manual, Sport Chrono, PASM."
"20,600 m",8:23,"Porsche 911 Carrera 4 (996.1, 2001, 300 PS)",Horst von Saurma,2001,Sport Auto (02/2001)
"20,600 m",8:23,"Renault Clio R.S. 220 Trophy (Mk4, 1-st facelift, 1.6 T, 220 PS)",Christian Gebhardt,2016,"Sport Auto (01/2016), Dunlop Direzza 03G."
"20,600 m",8:23.12,Porsche 911 Carrera RS (964),Christian Gebhardt,2019,"Sport Auto (10/2019), Pirelli P Zero Trofeo R N0."
"20,600 m",8:24,"BMW X6 M (E71, 2009, 555 PS)",Horst von Saurma,2009,"Sport Auto (10/2009), Bridgestone Dueller HP Sport."
"20,600 m",8:24,Mercedes-Benz SLK55 AMG (R171),Horst von Saurma,2005,Sport Auto (04/2005)
"20,600 m",8:24,"Subaru Impreza WRX STi (GD, 2004, 265 PS)",Horst von Saurma,2004,Sport Auto (05/2004)
"20,600 m",8:25,Audi RS4 Avant (B5),Horst von Saurma,2000,Sport Auto (10/2000)
"20,600 m",8:25,Callaway C12 Coupe,Horst von Saurma,1999,Sport Auto (04/1999)
"20,600 m",8:25,"Mitsubishi Carisma GT Evo VI (Mk6, 1999, 280 PS)",Horst von Saurma,1999,"Sport Auto (11/1999), sport tyres."
"20,600 m",8:25,"Mitsubishi Carisma GT Evo VII (Mk7, 2002, 280 PS)",Horst von Saurma,2002,"Sport Auto (11/2002), Yokohama ADVAN."
"20,600 m",8:25,Lotus Exige S,Horst von Saurma,2008,"Sport Auto (06/2008), Yokohama A048."
"20,600 m",8:25,Jaguar XKR,Horst von Saurma,2006,"Sport Auto (12/2006), Dunlop SP Sportmaxx, six-speed automatic."
,8:25,"Porsche Cayman S (987.1, pre-facelift, 2006, 295 PS)",Horst von Saurma,2006,"Sport Auto (11/2006), Michelin Pilot Sport 2 N1, PASM, Sport Chrono."
,8:26,Audi S5,Horst von Saurma,2008,"Sport Auto (01/2008), Michelin Pilot Sport."
,8:26,BMW 335i Coupe (E92),Horst von Saurma,2006,"Sport Auto (10/2006), Bridgestone Potenza RE050A run-flat."
,8:26,Mercedes-Benz SLK32 AMG (R170),Horst von Saurma,2001,Sport Auto (05/2001)
,8:26,"Ford Focus RS (Mk2, C307, 2009, 305 PS)",Horst von Saurma,2009,"Sport Auto (08/2009), Continental Conti SportContact 3."
,8:26,Nissan 350Z,Horst von Saurma,2003,Sport Auto (10/2003)
,8:27.27,Toyota GR86 (2023),Christian Gebhardt,2022,"Sport Auto (12/2022), Michelin Pilot Sport 4."
,8:28,BMW M5 (E39),Horst von Saurma,1999,Sport Auto (3/1999)
,8:28,"Mini John Cooper Works Pro (F56, 2017, 2.0 T, 231 PS)",Christian Gebhardt,2017,"Sport Auto (04/2017), Pirelli P Zero."
,8:28,Porsche 911 Carrera (993),Horst von Saurma,1997,"Sport Auto (07/1997), lap time from rubric ""DAS REFERENZ-AUTO"" from Supertest of Chevrolet Corvette C5."
,8:28,"Subaru WRX STi (Mk4, VA, facelift, 2015, 2.5 T, 300 PS)",Christian Gebhardt,2015,"Sport Auto (07/2015), Dunlop tyres."
,8:28,"Ford Fiesta ST (Mk7, B479, 2020, 1.5 T, 200 PS)",Christian Gebhardt,2020,"Sport Auto (03/2020), Michelin Pilot Super Sport S1."
,8:29,Audi S4 Avant (B6),Horst von Saurma,2003,Sport Auto (11/2003)
,8:29,"Audi TTS Coupé (8J, 2008, 272 PS)",Horst von Saurma,2008,Sport Auto (10/2008)
,8:29,Mercedes-Benz CLK55 AMG (W208),Horst von Saurma,2000,Sport Auto (05/2000)
,8:29,"Renault Megane III RS (Mk III, 2011, 250 PS)",Horst von Saurma,2011,"Sport Auto (02/2011), Michelin Pilot Sport Cup."
,8:29,"Volkswagen Golf VII GTI Performance (Mk7, pre-facelift, 2013, 2.0 T, 230 PS)",Horst von Saurma,2013,"Sport Auto (08/2013), Bridgestone Potenza S001."
,8:30,Alfa Romeo Giulietta QV,,2011,al Volante.it (04/2011)
,8:30,Maserati Coupe Cambiocorsa,Horst von Saurma,2002,Sport Auto (10/2002)
,8:32,"Ford Fiesta ST Edition (Mk7, B479, 2022, 1.5 T, 200 PS)",Christian Gebhardt,2022,"Sport Auto (02/2022), Michelin Pilot Sport 4."
,8:32,"Porsche Boxster S (986.1, pre-facelift, 1999, 252 PS)",Horst von Saurma,1999,Sport Auto (12/1999)
,8:32,BMW Z3 M Roadster (E36/7),Horst von Saurma,1997,Sport Auto (09/1997)
,8:32,"BMW Z4 Coupe 3.0si (E86, facelift, 2006, 265 PS)",Horst von Saurma,2006,Sport Auto (08/2006)
,8:32,"BMW Z4 Roadster 3.0i SMG (E85, pre-facelift, 2003, 231 PS)",Horst von Saurma,2003,Sport Auto (05/2003)
,8:32,"Lotus Exige (Mk2, N/A 1.8, 192 PS)",Horst von Saurma,2004,Sport Auto (08/2004)
,8:33.60,"Hyundai i20 N Performance (Mk3, BC3/BI3, 2021, 1.6 T, 204 PS)",Christian Gebhardt,2021-09-01,"Sport Auto (10/2021), Pirelli P Zero HN."
,8:33.99,"Porsche Cayenne Turbo S (Type 9PA (957), 2009, facelift, 4.8-l, 550 PS))",Patrick Simon,2009-10-02,"Evo Magazine News, Dunlop tyres factory test, SUV-class lap time record (before BMW E71 X6 M), Dunlop SP Quatromaxx."
,8:34,"BMW Z3 Coupe 3.0 (E36/8, 2001, 231 PS)",Horst von Saurma,2001,Sport Auto (04/2001)
,8:34,"Opel Speedster Turbo (2004, 200 PS)",Horst von Saurma,2004,Sport Auto (04/2004)
,8:34,"Volkswagen Golf VI R (Mk6, 2010)",Horst von Saurma,2010,"Sport Auto (10/2010), Dunlop Sport Maxx GT."
"20,832 m",8:34.6,"BMW M6 Cabrio (E64, 2007, 507 PS)",Dierk Möller-Sonntag,2007,"Auto Bild Sportscars (11/2007), Michelin Pilot Sport 2."
,8:35.00,Ford Focus ST,Patrick Bernhard,2005,Factory claimed.
,8:35,"BMW M3 Coupe SMG (E36, facelift, 1997, 321 PS)",Horst von Saurma,1997,"Sport Auto (03/1997), Michelin MXX3, S50B32 engine, SMG I automatic."
,8:35,"Mini Cooper S JCW (F55/F56/F57, 2015, 2.0 T, 231 PS)",Christian Gebhardt,2015,"Sport Auto (12/2015), Kumho sport tyres."
,8:35,"Mini Cooper S JCW (R56/R57, 2009, 1.6 T, 211 PS)",Horst von Saurma,2009,Sport Auto (04/2009)
,8:36,"BMW Alpina B3 (E46, 1999, 280 PS)",Horst von Saurma,1999,Sport Auto (07/1999)
,8:36,"Porsche Boxster (986.2, facelift, 2003, 2.7, 228 PS)",Horst von Saurma,2003,Sport Auto (03/2003)
"20,832 m",8:36.1,"Mercedes-Benz SL55 AMG (R230, second facelift, 2007, 517 PS)",Dierk Möller-Sonntag,2007,"Auto Bild Sportscars (11/2007), Bridgestone Potenza."
,8:37,Maserati 3200 GT,Horst von Saurma,2000,Sport Auto (09/2000)
,8:37,Mercedes-Benz C32 AMG (W203),Horst von Saurma,2001,Sport Auto (09/2001)
,8:37,"Subaru Impreza GT Turbo (GC8G (Mk1, 2000, 218 PS))",Horst von Saurma,2000,Sport Auto (03/2000)
,8:37,"Volkswagen Golf IV R32 (Mk4, 2003)",Horst von Saurma,2003,Sport Auto (02/2003)
,8:38,"Honda NSX (1 gen, 1997, 280 PS)",Horst von Saurma,1997,Sport Auto (08/1997)
,8:38,"Mercedes-Benz SL500 (R230, pre-facelift, 2001,  306 PS)",Horst von Saurma,2001,Sport Auto (12/2001)
,8:38,"Renault Megane II Trophy ""Sport Auto"" Edition (Mk2, 2005, 225 PS)",Horst von Saurma,2005,Sport Auto (06/2005)
,8:38,"Volkswagen Golf VI GTI ""35 Jähre GTI"" (Mk6, 2011, 2.0 T, 235 PS)",Horst von Saurma,2011,"Sport Auto (09/2011), Dunlop Sport Maxx GT."
,8:39,Honda S2000,Horst von Saurma,2000,Sport Auto (01/2000)
,8:39,Mazda MAZDASPEED3 (Mazda3 MPS),Mark Ticehurst,2007,"Mazda News (06/2007), Mazda Racing Driver, 10th lap."
,8:39,"Morgan Aero 8 (Series 1, pre-facelift, 2003, 286 PS)",Horst von Saurma,2003-03-01,"Sport Auto (04/2003), Toyo Proxes R888 R, BMW M62TUB44 engine."
,8:40,"Audi TT Coupe (Mk2, 8J, 2007 2.0 TFSI, 200 PS)",Horst von Saurma,2007,Sport Auto (02/2007)
,8:40,Chevrolet Corvette C5,Horst von Saurma,1997,"Sport Auto (07/1997), automatic transmission."
,8:40,"Opel Corsa OPC (E, X15, 2015, 1.6 T, 207 PS)",Christian Gebhardt,2015,Sport Auto (09/2015) Michelin Pilot Super Sport.
"20,832 m",8:40.30,"Bentley Continental GT (Mk1, 2006, 560 PS)",Tom Kristensen,2006-03,"Auto Bild Sportscars (03/2006), 6-speed Tiptronic automatic."
,8:41,Aston Martin DB7 Vantage,Horst von Saurma,1999,Sport Auto (09/1999)
,8:41,"Audi S1 (8X, 2014, 231 PS)",Horst von Saurma,2014,"Sport Auto (11/2014), Bridgestone Potenza S001."
,8:41,"Audi S3 (8L, 1999, 210 PS)",Horst von Saurma,1999,Sport Auto (06/1999)
,8:42,"Audi S4 (B5, 1998, 265 PS)",Horst von Saurma,1998,Sport Auto (08/1998)
,8:42,"Audi TT 1.8 T (Mk1, 8N, 1998)",Horst von Saurma,1998,"Sport Auto (11/1998), 225 PS version."
,8:42,"Lotus Exige (Mk1, 2000, 179 PS)",Horst von Saurma,2000,"Sport Auto (11/2000), Sport tyres."
,8:43,Hyundai Genesis Coupe 3.8L,Dmitry Sokolov,2011-07,"TopGear Russia (2011), automatic transmission"
"19,100 m",8:43.3,SEAT León Cupra R Mk1,Øistein Helland,2010-08-07,BTG https://www.youtube.com/watch?v=BGwNecMZrtQ
,8:43.60,"Subaru BRZ Final Edition (Mk1, ZN6/ZC6, 2020, N/A 2.0, 200 PS)",Christian Gebhardt,2020-11-19,"Sport Auto (12/2020), Michelin Pilot Sport 4."
,8.44.66,"Toyota Yaris GRMN (Mk3, XP13, 2019, S/C 1.8, 212 PS)",Christian Gebhardt,2019-04-09,"Sport Auto (05/2019), Bridgestone Potenza RE050A."
,8:45,"Toyota GT86 (Mk1, ZN6/ZC6, 2012, N/A 2.0, 200 PS)",Horst von Saurma,2013,"Sport Auto (02/2013), Bridgestone Potenza."
,8:47,Volkswagen Scirocco 2.0 TSI,Bernt Bråten Andersen,2009-11-15,Minimalt.no[citation needed]
,8:47,Honda Civic Type-R 2.0i LS,Horst von Saurma,2001,Sport Auto (11/2001).
,8:47.99,Opel Corsa OPC,Manuel Reuter,2007,Opel conducted test.
,8:49,"Jaguar XKR Coupe (X100, 1998, 363 PS)",Horst von Saurma,1998,Sport Auto (07/1998)
,8:49,Renault Clio V6,Horst von Saurma,2001,Sport Auto (7/2001)
,8:49,"Volkswagen Golf V R32 (Mk5, 2006)",Horst von Saurma,2006,Sport Auto (09/2006)
,8:50,"BMW Alpina B10 3.2 (E39, 1998, 260 PS)",Horst von Saurma,1998,Sport Auto (04/1998)
,8:50,BMW M3 (E30),Horst von Saurma,2010,Sport Auto (9/2010)
"19,100 m",8:50,Tesla Model S P85D,,2015,BTG
,8:51,"Alfa Romeo 156 GTA (2002, 250 PS)",Horst von Saurma,2002,Sport Auto (05/2002)
,8:51,Mercedes-Benz C43 AMG (W202),Horst von Saurma,1998,Sport Auto (02/1998)
,8:52,Mercedes-Benz CLK430 Coupe (W208),Horst von Saurma,1998,Sport Auto (09/1998)
,8:53,"Volkswagen Golf V GTI DSG (Mk5, 2005, 200 PS)",Horst von Saurma,2005,"Sport Auto (11/2005), Michelin Pilot Exalto, DSG automatic."
,8:54,Opel Corsa 1.6 Turbo OPC,Horst von Saurma,2008,"Sport Auto (04/2008), Continental Conti SportContact."
,8:54,"Porsche Boxster (986.1, pre-facelift, 1997, 2.5, 204 PS)",Horst von Saurma,1997,Sport Auto (04/1997)
,8:54,"Volkswagen Golf IV GTI ""25 Jähre GTI"" (Mk4, 2002, 1.8T, 180 PS)",Horst von Saurma,2002,Sport Auto (01/2002)
,8:55,"Mini Cooper S JCW (R50/R53, S/C 1.6, 200 PS)",Horst von Saurma,2004,Sport Auto (09/2004)
,8:55,Range Rover Sport Supercharged (2010),Paul Wijgaertz,2009,Dynamic Adaptive Test - https://www.youtube.com/watch?v=4SYyxYDWtyk
,8:59,"Renault Clio IV RS 1.6 16V Turbo EDC (Mk4, 2013)",Horst von Saurma,2013,"Sport Auto (10/2013), Dunlop Sport Maxx RT."
,9:02,Chevrolet Cobalt SS Turbo,John Heinricy,2007-10,Wet Track
,9:07,"Mercedes-Benz SLK230 Kompressor AMG (R170, 1997, 193 PS)",Horst von Saurma,1997,Sport Auto (05/1997)
,9:09,"Fiat Grande Punto Abarth Esseesse (2009, 180 PS)",Horst von Saurma,2009,"Sport Auto (03/2009), Pirelli P Zero."
,9:09,"Volkswagen Golf IV V6 4motion (Mk4, 2.8, 204 PS)",Horst von Saurma,2000,Sport Auto (04/2000)
"19,100 m",9:09,Volkswagen Lupo GTI,Daniel Schwerfeld,2002-09-29,BTG
"19,100 m",9:12,Opel Corsa B,Steven Stephan,2020-06-24,BTG
,9:17.120,Ferrari Testarossa,,1987,Auto Motor und Sport (17/1987)
"20,832 m",9:46.20,Volkswagen Polo GTI (Mk4),Wolfgang Kaufmann,2007-06-29,Auto Bild Sportscars (07/2007)
"20,832 m",11:25.50,Mercedes-Benz G55 AMG (W463),Wolfgang Kaufmann,2007-06-29,Auto Bild Sportscars (07/2007)
"22,800 m",16:01,Trabant P50,Factory team of VEB Sachsenring,1960-04,Production car with 20 bhp during the final stage of the international Hanseat-Rallye.
